x_pos,y_pos,channel_1,channel_2,channel_3,channel_4
2491.0,1219.0,0,0,0,0
2491.0,1219.0,551,86,24,14
2489.0,1217.0,120,86,24,19
2488.0,1216.0,120,86,24,25
2484.0,1214.0,120,85,24,26
2482.0,1212.0,120,86,24,26
2482.0,1212.0,119,86,24,25
2480.0,1211.0,119,85,24,25
2478.0,1209.0,120,86,24,25
2477.0,1207.0,120,85,24,25
2477.0,1207.0,119,85,24,25
2476.0,1207.0,119,85,24,25
2475.0,1205.0,119,85,24,25
2474.0,1205.0,119,84,24,25
2474.0,1205.0,119,85,24,26
2472.0,1202.0,119,85,24,25
2471.0,1201.0,119,85,24,25
2471.0,1200.0,119,84,24,25
2469.0,1199.0,118,84,24,25
2469.0,1197.0,118,84,25,25
2468.0,1196.0,118,84,26,25
2468.0,1196.0,118,84,28,25
2467.0,1194.0,118,84,30,25
2467.0,1193.0,118,84,31,25
2466.0,1192.0,118,84,31,25
2466.0,1192.0,118,83,31,25
2466.0,1190.0,118,83,30,25
2466.0,1190.0,118,84,31,25
2466.0,1190.0,117,83,31,25
2465.0,1189.0,116,83,30,25
2465.0,1186.0,116,83,30,25
2465.0,1185.0,116,83,30,25
2465.0,1185.0,116,83,30,25
2465.0,1184.0,116,83,30,25
2465.0,1183.0,116,83,30,25
2465.0,1183.0,116,83,30,25
2465.0,1182.0,115,83,30,25
2465.0,1180.0,116,83,30,24
2465.0,1180.0,115,83,30,24
2465.0,1179.0,115,83,30,24
2465.0,1177.0,115,83,30,24
2465.0,1177.0,115,82,30,24
2465.0,1176.0,115,83,30,24
2465.0,1175.0,115,82,30,24
2465.0,1173.0,115,82,30,25
2465.0,1172.0,115,82,30,24
2465.0,1172.0,115,82,29,24
2465.0,1172.0,115,103,30,24
2466.0,1170.0,115,103,30,25
2466.0,1168.0,115,102,30,25
2466.0,1168.0,115,102,30,24
2467.0,1168.0,115,102,30,24
2468.0,1166.0,115,102,29,24
2468.0,1166.0,115,102,30,24
2468.0,1165.0,115,102,30,24
2469.0,1164.0,115,101,30,24
2470.0,1162.0,115,101,30,24
2470.0,1161.0,114,100,30,24
2471.0,1160.0,114,100,30,24
2471.0,1160.0,114,100,29,24
2472.0,1159.0,114,100,29,24
2473.0,1159.0,114,100,30,24
2473.0,1157.0,113,100,29,24
2475.0,1156.0,113,99,30,24
2475.0,1156.0,113,100,29,24
2476.0,1154.0,113,99,29,24
2478.0,1152.0,113,99,29,24
2478.0,1151.0,113,99,30,24
2480.0,1150.0,113,99,33,24
2481.0,1149.0,113,99,34,24
2481.0,1149.0,112,99,35,24
2483.0,1147.0,112,99,34,24
2484.0,1146.0,112,99,35,24
2485.0,1145.0,112,99,34,24
2486.0,1145.0,112,99,34,24
2486.0,1145.0,112,98,34,24
2488.0,1143.0,112,98,34,24
2488.0,1143.0,112,98,34,24
2489.0,1141.0,112,98,34,24
2490.0,1141.0,112,98,34,24
2490.0,1141.0,111,97,33,24
2492.0,1139.0,112,98,34,24
2494.0,1138.0,111,97,33,24
2494.0,1138.0,111,97,34,24
2495.0,1137.0,111,97,33,24
2496.0,1136.0,111,97,33,24
2496.0,1136.0,111,97,33,24
2499.0,1134.0,111,97,33,24
2500.0,1133.0,110,97,33,24
2500.0,1133.0,111,97,33,24
2501.0,1133.0,110,97,33,24
2504.0,1130.0,110,97,33,24
2505.0,1130.0,110,103,33,24
2507.0,1128.0,110,126,33,24
2507.0,1128.0,110,125,33,24
2509.0,1127.0,110,124,33,24
2510.0,1127.0,110,124,33,23
2512.0,1125.0,110,124,33,24
2514.0,1124.0,109,124,33,23
2514.0,1124.0,109,124,33,24
2516.0,1123.0,109,124,33,24
2518.0,1122.0,108,123,33,23
2520.0,1121.0,109,124,33,24
2523.0,1119.0,108,123,33,24
2524.0,1118.0,109,123,33,24
2527.0,1116.0,108,123,33,23
2527.0,1116.0,108,122,33,23
2529.0,1116.0,108,122,32,23
2531.0,1115.0,108,122,32,23
2531.0,1115.0,108,122,32,23
2532.0,1113.0,108,121,33,23
2534.0,1113.0,108,121,32,24
2537.0,1112.0,108,121,34,24
2537.0,1112.0,108,121,39,23
2539.0,1111.0,108,121,44,24
2541.0,1110.0,112,121,44,23
2542.0,1109.0,120,120,45,23
2542.0,1109.0,127,120,45,23
2544.0,1108.0,127,120,44,23
2546.0,1107.0,127,120,44,23
2548.0,1106.0,127,120,44,23
2551.0,1105.0,127,120,44,23
2551.0,1105.0,127,120,44,23
2551.0,1105.0,126,120,44,23
2553.0,1103.0,127,120,44,23
2555.0,1103.0,126,120,44,23
2555.0,1103.0,126,120,44,23
2557.0,1102.0,126,120,44,23
2559.0,1101.0,126,120,44,23
2561.0,1100.0,126,119,44,22
2562.0,1099.0,125,119,44,23
2565.0,1098.0,125,119,44,23
2565.0,1098.0,125,119,44,23
2565.0,1098.0,125,119,44,23
2567.0,1097.0,125,118,44,22
2569.0,1096.0,124,118,44,23
2571.0,1095.0,124,118,44,23
2572.0,1095.0,124,118,43,22
2574.0,1093.0,124,118,43,22
2574.0,1093.0,124,270,44,22
2575.0,1093.0,124,269,43,22
2577.0,1092.0,124,269,43,23
2578.0,1092.0,124,268,44,23
2578.0,1092.0,124,268,43,22
2579.0,1091.0,123,268,43,22
2581.0,1091.0,123,268,43,22
2582.0,1090.0,123,268,43,22
2582.0,1090.0,123,267,43,22
2584.0,1089.0,123,267,43,22
2585.0,1089.0,122,267,43,22
2586.0,1089.0,122,267,43,22
2586.0,1089.0,122,267,43,22
2588.0,1088.0,121,267,43,22
2588.0,1088.0,121,266,43,22
2589.0,1087.0,121,265,42,22
2589.0,1087.0,121,265,43,22
2591.0,1087.0,121,265,43,22
2591.0,1087.0,121,265,42,22
2592.0,1086.0,121,265,43,22
2592.0,1086.0,120,265,43,22
2593.0,1086.0,120,265,45,22
2594.0,1086.0,121,264,46,22
2595.0,1085.0,122,263,47,22
2596.0,1085.0,126,264,46,22
2596.0,1085.0,127,263,46,22
2597.0,1084.0,127,263,46,22
2597.0,1084.0,127,263,46,22
2597.0,1084.0,127,263,46,22
2597.0,1084.0,127,263,46,22
2599.0,1084.0,127,263,46,22
2599.0,1084.0,127,263,46,21
2600.0,1084.0,127,263,46,22
2600.0,1083.0,127,263,46,22
2600.0,1083.0,127,263,45,21
2600.0,1083.0,127,263,45,21
2601.0,1083.0,126,263,45,21
2601.0,1083.0,126,262,46,22
2601.0,1083.0,126,262,46,21
2602.0,1083.0,126,262,45,22
2602.0,1083.0,126,262,45,21
2602.0,1083.0,126,262,45,21
2602.0,1083.0,126,261,45,21
2602.0,1083.0,125,261,45,21
2603.0,1083.0,125,261,45,21
2603.0,1083.0,125,260,45,21
2603.0,1083.0,124,281,45,21
2603.0,1083.0,124,280,44,20
2603.0,1083.0,124,280,44,20
2603.0,1083.0,124,280,44,21
2603.0,1083.0,124,280,44,21
2603.0,1083.0,124,280,44,21
2603.0,1083.0,123,280,45,20
2603.0,1083.0,124,280,44,21
2603.0,1083.0,123,279,44,20
2603.0,1083.0,123,279,44,21
2603.0,1083.0,123,279,44,20
2603.0,1083.0,123,279,44,21
2603.0,1083.0,123,279,44,21
2602.0,1083.0,123,279,44,20
2602.0,1083.0,123,278,44,20
2601.0,1083.0,123,278,44,20
2601.0,1083.0,121,278,44,20
2600.0,1083.0,122,277,44,20
2600.0,1083.0,121,277,44,21
2600.0,1083.0,121,277,44,20
2599.0,1083.0,121,276,44,20
2599.0,1083.0,121,276,46,20
2598.0,1083.0,121,276,48,20
2598.0,1083.0,121,276,48,20
2597.0,1083.0,123,276,48,20
2597.0,1083.0,126,275,48,20
2597.0,1083.0,126,275,48,20
2596.0,1083.0,125,275,48,20
2595.0,1084.0,125,275,48,20
2595.0,1084.0,125,275,47,20
2594.0,1085.0,124,275,47,20
2592.0,1085.0,124,275,48,20
2592.0,1085.0,124,274,47,20
2591.0,1085.0,124,274,47,20
2591.0,1085.0,124,274,47,20
2589.0,1085.0,124,273,47,20
2589.0,1085.0,124,273,47,20
2587.0,1086.0,124,273,47,19
2586.0,1086.0,124,273,47,20
2586.0,1086.0,123,273,47,20
2585.0,1087.0,123,273,47,20
2582.0,1087.0,123,272,47,20
2580.0,1087.0,123,272,47,20
2579.0,1087.0,123,272,46,19
