x_pos,y_pos,channel_1,channel_2,channel_3,channel_4
2272.0,659.0,319,19,0,83
2268.0,661.0,22,32,0,83
2265.0,664.0,22,31,12,83
2265.0,664.0,22,31,16,111
2265.0,664.0,21,31,16,111
2265.0,664.0,21,31,16,11
2260.0,667.0,21,31,16,287
2260.0,667.0,22,31,16,287
2257.0,670.0,22,31,15,287
2257.0,670.0,21,31,15,287
2254.0,673.0,21,31,15,287
2254.0,673.0,22,31,15,286
2254.0,673.0,21,31,15,286
2250.0,676.0,21,31,15,286
2250.0,676.0,21,31,15,286
2246.0,679.0,21,31,15,286
2246.0,679.0,21,31,15,286
2244.0,681.0,21,31,15,285
2244.0,681.0,21,31,15,285
2244.0,681.0,21,31,15,284
2239.0,685.0,21,31,15,284
2239.0,685.0,21,31,15,284
2237.0,687.0,21,31,15,284
2233.0,690.0,21,31,15,284
2233.0,690.0,21,31,15,284
2233.0,690.0,21,31,15,283
2230.0,693.0,21,31,15,283
2230.0,693.0,21,31,15,283
2228.0,695.0,20,31,15,283
2228.0,695.0,21,31,15,282
2228.0,695.0,21,31,15,282
2223.0,699.0,20,31,15,282
2223.0,699.0,20,31,15,281
2223.0,699.0,21,30,15,281
2220.0,701.0,20,30,15,281
2220.0,701.0,20,30,15,281
2217.0,705.0,20,30,15,281
2217.0,705.0,20,30,15,280
2213.0,708.0,20,30,15,280
2213.0,708.0,20,30,15,280
2211.0,710.0,20,30,15,280
2211.0,710.0,20,30,15,280
2207.0,713.0,20,30,15,280
2207.0,713.0,20,30,15,280
2207.0,713.0,20,30,15,280
2207.0,713.0,20,30,14,280
2207.0,713.0,20,30,15,281
2205.0,716.0,20,30,15,281
2205.0,716.0,20,30,15,281
2200.0,720.0,20,30,15,281
2200.0,720.0,20,30,15,280
2194.0,727.0,20,30,15,280
2194.0,727.0,20,30,15,280
2192.0,729.0,20,30,15,280
2192.0,729.0,20,30,15,280
2188.0,733.0,20,30,15,280
2188.0,733.0,20,30,15,304
2188.0,733.0,20,30,15,306
2187.0,734.0,20,30,15,305
2187.0,734.0,20,30,15,305
2182.0,739.0,20,30,15,304
2182.0,739.0,20,30,15,304
2182.0,739.0,20,30,15,304
2180.0,742.0,20,30,15,304
2180.0,742.0,20,30,15,304
2177.0,745.0,20,30,15,303
2177.0,745.0,20,30,15,303
2174.0,747.0,20,30,15,303
2174.0,747.0,20,30,15,303
2174.0,747.0,20,30,15,302
2172.0,749.0,20,30,15,302
2172.0,749.0,20,29,15,302
2169.0,754.0,20,29,15,302
2169.0,754.0,20,29,15,302
2165.0,756.0,20,29,15,301
2165.0,756.0,20,29,15,301
2165.0,756.0,20,29,15,301
2164.0,759.0,20,29,15,300
2164.0,759.0,20,33,15,300
2161.0,762.0,20,49,15,300
2161.0,762.0,22,60,15,300
2159.0,764.0,24,60,15,300
2159.0,764.0,24,60,15,300
2157.0,768.0,25,60,15,299
2157.0,768.0,25,60,15,299
2154.0,770.0,25,60,15,299
2154.0,770.0,25,60,15,299
2152.0,772.0,25,60,15,298
2152.0,772.0,25,59,15,298
2152.0,772.0,25,59,15,297
2148.0,777.0,25,59,15,297
2148.0,777.0,25,62,15,297
2147.0,779.0,24,67,15,297
2147.0,779.0,24,67,15,297
2143.0,783.0,25,67,15,296
2143.0,783.0,24,67,15,295
2143.0,783.0,24,67,15,295
2142.0,785.0,24,67,15,295
2142.0,785.0,24,67,15,295
2139.0,789.0,24,67,15,295
2139.0,789.0,24,67,15,295
2139.0,789.0,24,67,15,295
2139.0,789.0,24,67,17,295
2139.0,789.0,24,66,17,295
2137.0,791.0,24,66,17,295
2137.0,791.0,24,66,17,295
2135.0,793.0,24,66,17,294
2135.0,793.0,24,66,17,294
2130.0,801.0,24,66,18,294
2130.0,801.0,24,65,18,294
2127.0,804.0,24,65,18,294
2127.0,804.0,24,65,17,294
2127.0,804.0,24,65,19,293
2125.0,806.0,24,65,22,292
2125.0,806.0,24,65,24,292
2125.0,806.0,24,65,24,292
2123.0,809.0,24,65,24,292
2123.0,809.0,24,65,25,292
2120.0,813.0,24,65,25,291
2120.0,813.0,24,65,25,291
2118.0,815.0,24,65,25,291
2118.0,815.0,24,64,25,291
2117.0,818.0,24,64,25,291
2117.0,818.0,24,64,25,291
2114.0,821.0,24,64,25,291
2114.0,821.0,24,65,31,291
2114.0,821.0,25,65,31,291
2113.0,824.0,27,65,31,290
2113.0,824.0,28,65,31,290
2110.0,828.0,28,65,31,289
2110.0,828.0,29,65,31,289
2110.0,828.0,29,65,31,289
2107.0,831.0,29,65,31,289
2107.0,831.0,29,65,31,289
2106.0,833.0,30,65,31,289
2106.0,833.0,29,65,31,288
2106.0,833.0,29,65,31,288
2103.0,837.0,29,65,30,287
2103.0,837.0,29,79,30,287
2103.0,837.0,29,78,30,287
2102.0,840.0,29,78,30,287
2102.0,840.0,29,78,30,287
2100.0,842.0,29,78,30,287
2100.0,842.0,29,77,30,287
2100.0,842.0,29,77,30,287
2098.0,846.0,28,77,30,287
2098.0,846.0,29,77,30,287
2096.0,849.0,28,77,30,287
2096.0,849.0,35,76,30,286
2095.0,850.0,36,76,31,286
2095.0,850.0,38,76,31,286
2092.0,855.0,38,76,31,286
2092.0,855.0,38,76,31,286
2092.0,855.0,38,76,31,285
2092.0,855.0,38,76,31,285
2091.0,858.0,38,76,31,285
2091.0,858.0,37,76,31,284
2086.0,865.0,38,76,31,284
2086.0,865.0,37,76,31,284
2084.0,867.0,37,76,31,284
2084.0,867.0,37,76,31,284
2083.0,870.0,37,75,31,284
2083.0,870.0,37,75,31,284
2081.0,874.0,37,75,31,284
2081.0,874.0,37,75,31,284
2079.0,877.0,37,75,31,283
2079.0,877.0,37,75,31,283
2079.0,877.0,36,75,31,283
2078.0,879.0,37,75,31,283
2078.0,879.0,36,75,31,283
2077.0,881.0,36,75,31,282
2077.0,881.0,36,74,31,282
2077.0,881.0,37,74,32,281
2074.0,885.0,36,74,32,283
2074.0,885.0,37,74,32,283
2073.0,887.0,37,74,32,283
2073.0,887.0,37,74,31,283
2073.0,887.0,38,73,31,283
2071.0,891.0,38,73,31,282
2071.0,891.0,38,73,31,281
2070.0,893.0,38,73,31,281
2070.0,893.0,38,73,31,281
2068.0,896.0,38,73,31,281
2068.0,896.0,38,73,31,281
